"Figure 1. Average Global Sea Surface Temperature, 1880-2020",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2021",,,
Web update: April 2021,,,
Units: temperature anomaly (°F),,,
,,,
Year,Annual anomaly,Lower 95% confidence interval,Upper 95% confidence interval
1880,-0.42,-0.628152,-0.211848
1881,-0.33,-0.531096,-0.128904
1882,-0.348,-0.545568,-0.150432
1883,-0.456,-0.65004,-0.26196
1884,-0.582,-0.790152,-0.373848
1885,-0.69,-0.90168,-0.47832
1886,-0.672,-0.876624,-0.467376
1887,-0.726,-0.9024,-0.5496
1888,-0.402,-0.553704,-0.250296
1889,-0.402,-0.553704,-0.250296
1890,-0.816,-0.953592,-0.678408
1891,-0.546,-0.68712,-0.40488
1892,-0.654,-0.802176,-0.505824
1893,-0.726,-0.874176,-0.577824
1894,-0.762,-0.913704,-0.610296
1895,-0.564,-0.708648,-0.419352
1896,-0.33,-0.481704,-0.178296
1897,-0.42,-0.568176,-0.271824
1898,-0.708,-0.852648,-0.563352
1899,-0.6,-0.744648,-0.455352
1900,-0.438,-0.600288,-0.275712
1901,-0.636,-0.791232,-0.480768
1902,-0.762,-0.896064,-0.627936
1903,-1.014,-1.148064,-0.879936
1904,-1.158,-1.288536,-1.027464
1905,-0.798,-0.92148,-0.67452
1906,-0.762,-0.910176,-0.613824
1907,-0.87,-1.01112,-0.72888
1908,-1.104,-1.238064,-0.969936
1909,-1.176,-1.320648,-1.031352
1910,-1.14,-1.29876,-0.98124
1911,-1.122,-1.287816,-0.956184
1912,-0.87,-1.0464,-0.6936
1913,-0.942,-1.132512,-0.751488
1914,-0.69,-0.894624,-0.485376
1915,-0.564,-0.782736,-0.345264
1916,-0.87,-1.092264,-0.647736
1917,-0.96,-1.196376,-0.723624
1918,-0.726,-0.948264,-0.503736
1919,-0.798,-1.016736,-0.579264
1920,-0.78,-0.977568,-0.582432
1921,-0.744,-0.923928,-0.564072
1922,-0.834,-1.003344,-0.664656
1923,-0.816,-0.971232,-0.660768
1924,-0.834,-0.985704,-0.682296
1925,-0.762,-0.910176,-0.613824
1926,-0.6,-0.744648,-0.455352
1927,-0.708,-0.845592,-0.570408
1928,-0.78,-0.917592,-0.642408
1929,-0.87,-1.004064,-0.735936
1930,-0.636,-0.770064,-0.501936
1931,-0.582,-0.719592,-0.444408
1932,-0.726,-0.856536,-0.595464
1933,-0.798,-0.932064,-0.663936
1934,-0.708,-0.842064,-0.573936
1935,-0.708,-0.842064,-0.573936
1936,-0.636,-0.766536,-0.505464
1937,-0.474,-0.601008,-0.346992
1938,-0.6,-0.737592,-0.462408
1939,-0.492,-0.657816,-0.326184
1940,-0.15,-0.368736,0.068736
1941,0.084,-0.1806,0.3486
1942,-0.258,-0.46968,-0.04632
1943,-0.294,-0.480984,-0.107016
1944,0.012,-0.185568,0.209568
1945,-0.024,-0.203928,0.155928
1946,-0.492,-0.608424,-0.375576
1947,-0.546,-0.648312,-0.443688
1948,-0.618,-0.716784,-0.519216
1949,-0.564,-0.6522,-0.4758
1950,-0.564,-0.645144,-0.482856
1951,-0.42,-0.5082,-0.3318
1952,-0.312,-0.414312,-0.209688
1953,-0.312,-0.41784,-0.20616
1954,-0.6,-0.684672,-0.515328
1955,-0.636,-0.727728,-0.544272
1956,-0.564,-0.659256,-0.468744
1957,-0.222,-0.324312,-0.119688
1958,-0.204,-0.302784,-0.105216
1959,-0.294,-0.39984,-0.18816
1960,-0.312,-0.43548,-0.18852
1961,-0.276,-0.385368,-0.166632
1962,-0.294,-0.385728,-0.202272
1963,-0.276,-0.374784,-0.177216
1964,-0.546,-0.641256,-0.450744
1965,-0.474,-0.57984,-0.36816
1966,-0.384,-0.503952,-0.264048
1967,-0.42,-0.54348,-0.29652
1968,-0.384,-0.50748,-0.26052
1969,-0.096,-0.240648,0.048648
1970,-0.294,-0.421008,-0.166992
1971,-0.51,-0.629952,-0.390048
1972,-0.186,-0.30948,-0.06252
1973,-0.15,-0.266424,-0.033576
1974,-0.42,-0.518784,-0.321216
1975,-0.438,-0.522672,-0.353328
1976,-0.366,-0.447144,-0.284856
1977,-0.078,-0.1662,0.0102
1978,-0.186,-0.270672,-0.101328
1979,0.048,-0.036672,0.132672
1980,0.066,-0.0222,0.1542
1981,-0.006,-0.101256,0.089256
1982,-0.006,-0.101256,0.089256
1983,0.138,0.039216,0.236784
1984,-0.042,-0.116088,0.032088
1985,-0.114,-0.177504,-0.050496
1986,-0.042,-0.087864,0.003864
1987,0.21,0.160608,0.259392
1988,0.138,0.081552,0.194448
1989,0.066,0.020136,0.111864
1990,0.246,0.19308,0.29892
1991,0.192,0.142608,0.241392
1992,0.048,-0.011976,0.107976
1993,0.048,-0.015504,0.111504
1994,0.084,0.041664,0.126336
1995,0.174,0.131664,0.216336
1996,0.084,0.041664,0.126336
1997,0.354,0.294024,0.413976
1998,0.444,0.39108,0.49692
1999,0.084,0.034608,0.133392
2000,0.12,0.06708,0.17292
2001,0.354,0.30108,0.40692
2002,0.408,0.340968,0.475032
2003,0.462,0.412608,0.511392
2004,0.426,0.37308,0.47892
2005,0.426,0.39072,0.46128
2006,0.426,0.394248,0.457752
2007,0.3,0.268248,0.331752
2008,0.264,0.232248,0.295752
2009,0.498,0.46272,0.53328
2010,0.516,0.48072,0.55128
2011,0.318,0.28272,0.35328
2012,0.444,0.40872,0.47928
2013,0.48,0.441192,0.518808
2014,0.642,0.60672,0.67728
2015,0.858,0.819192,0.896808
2016,0.93,0.891192,0.968808
2017,0.822,0.779664,0.864336
2018,0.732,0.686136,0.777864
2019,0.876,0.819552,0.932448
2020,0.84,0.797664,0.882336
