"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"2022-08-15";"835.7255";"75.2";"0.4";"4693.52";"218";"1111.397";"11698.01";"19878.86"
"2022-08-14";"831.2698";"74.81";"0.44";"5051.88";"126.7";"1111.1543";"11696.77";"19874.51"
"2022-08-13";"826.3788";"74.37";"0.44";"5059.31";"118.3";"1111.1543";"11697.17";"19873.46"
"2022-08-12";"821.4542";"73.93";"0.39";"4518.9";"181.6";"1111.1543";"11697.41";"19872.82"
"2022-08-11";"817.1391";"73.56";"0.37";"4450.71";"367.1";"1110.9166";"11697.61";"19872.29"
"2022-08-10";"813.0262";"73.19";"0.4";"4657.42";"207";"1110.9166";"11697.88";"19871.59"
"2022-08-09";"808.5525";"72.78";"0.38";"4418.22";"150.2";"1110.9454";"11685.06";"19824.69"
"2022-08-08";"804.3098";"72.4";"0.39";"4531.55";"203";"1110.9454";"11677.41";"19795.21"
"2022-08-07";"799.9542";"72.01";"0.47";"5274.78";"78.1";"1110.9449";"11698.66";"19869.47"
"2022-08-06";"794.7795";"71.54";"0.45";"5129.64";"105.7";"1110.9568";"11699";"19868.57"
"2022-08-05";"789.7742";"71.09";"0.37";"4372.43";"276";"1110.9568";"11699.12";"19868.24"
"2022-08-04";"785.7";"71.19";"0.33";"3938.93";"305.2";"1103.6939";"11636.3";"19797.75"
"2022-08-03";"782.5932";"70.9";"0.36";"4160.63";"154.2";"1103.7839";"11636.64";"19796.86"
"2022-08-02";"778.6011";"70.54";"0.39";"4443.38";"157.9";"1103.7839";"11636.97";"19795.99"
"2022-08-01";"774.3412";"70.15";"0.36";"4194.48";"219.9";"1103.7849";"11637.14";"19795.55"
"2022-07-31";"769.8915";"69.3";"0.43";"4970.88";"153.6";"1110.9976";"11699.6";"19864.19"
"2022-07-30";"765.6928";"68.92";"0.42";"4777.75";"148.7";"1110.9976";"11699.89";"19863.42"
"2022-07-29";"761.0635";"68.5";"0.34";"4075.33";"352.7";"1110.9976";"11682.81";"19863.19"
"2022-07-28";"757.3425";"68.17";"0.35";"4214.27";"371.9";"1110.9976";"11682.91";"19862.95"
"2022-07-27";"753.5066";"67.82";"0.35";"4294.84";"431.4";"1110.9976";"11682.91";"19862.94"
"2022-07-26";"749.6439";"67.47";"0.36";"4295.24";"276.1";"1110.9976";"11683.04";"19862.59"
"2022-07-25";"745.6239";"67.11";"0.39";"4533.42";"217.9";"1110.9976";"11683.65";"19861.68"
"2022-07-24";"741.3057";"66.73";"0.46";"5197.84";"81";"1110.9839";"11692.23";"19859.98"
"2022-07-23";"736.1881";"66.26";"0.43";"4889.46";"159.5";"1110.9839";"11692.63";"19858.92"
"2022-07-22";"731.4187";"65.84";"0.34";"4332.86";"502.6";"1110.984";"11692.99";"19857.99"
"2022-07-21";"727.6086";"65.49";"0.28";"4008.99";"889.7";"1110.984";"11710.41";"19857.3"
"2022-07-20";"724.5151";"65.21";"0.25";"3770.16";"985.4";"1110.984";"11710.78";"19856.31"
"2022-07-19";"721.7385";"64.96";"0.26";"3865.69";"971.7";"1110.984";"11711.08";"19855.53"
"2022-07-18";"718.9907";"64.72";"0.3";"4204.52";"859.7";"1110.984";"11711.29";"19854.98"
"2022-07-17";"715.6584";"64.42";"0.41";"5035.12";"519.4";"1110.9791";"11711.55";"19853.73"
"2022-07-16";"711.156";"64.01";"0.43";"5354.68";"603.5";"1110.9791";"11711.94";"19852.7"
"2022-07-15";"706.4097";"63.58";"0.34";"4654.34";"928.5";"1110.9791";"11712.32";"19851.69"
"2022-07-14";"702.7019";"63.25";"0.32";"4291.37";"791.3";"1110.9791";"11712.68";"19850.75"
"2022-07-13";"699.2153";"62.94";"0.28";"4063.02";"905.6";"1110.8691";"11713.03";"19849.83"
"2022-07-12";"696.0903";"62.66";"0.26";"4144.08";"1228.4";"1110.8691";"11713.31";"19849.1"
"2022-07-11";"693.214";"62.4";"0.25";"3610.18";"787.1";"1110.8691";"11706.57";"19848.67"
"2022-07-10";"690.5647";"62.16";"0.47";"5438.5";"178.9";"1110.8589";"11706.79";"19846.91"
"2022-07-09";"685.3261";"61.69";"0.48";"5483.99";"173.9";"1110.8589";"11707.26";"19845.67"
"2022-07-08";"680.0457";"61.22";"0.35";"4341.93";"420";"1110.8589";"11707.54";"19844.95"
"2022-07-07";"676.1504";"60.87";"0.35";"4416.73";"516.7";"1110.8589";"11707.69";"19844.55"
"2022-07-06";"672.2732";"60.52";"0.36";"4377.08";"366.3";"1110.8581";"11707.96";"19843.63"
"2022-07-05";"668.2795";"60.16";"0.36";"4261.63";"272.6";"1110.8581";"11708.22";"19842.94"
"2022-07-04";"664.3868";"59.81";"0.37";"4419.84";"261.4";"1110.8581";"11708.56";"19842.06"
"2022-07-03";"660.2406";"59.44";"0.46";"5298.04";"230.9";"1110.8339";"11715.23";"19839.81"
"2022-07-02";"655.1873";"58.98";"0.43";"5079.18";"296.5";"1110.8338";"11715.58";"19838.85"
"2022-07-01";"650.4237";"58.55";"0.37";"4443.79";"362.5";"1110.8337";"11715.88";"19838.04"
"2022-06-30";"646.2322";"58.19";"0.28";"3912.29";"758.1";"1110.6444";"11715.93";"19837.89"
"2022-06-29";"643.1588";"57.91";"0.3";"3846.93";"558.8";"1110.6444";"11700.06";"19836.6"
"2022-06-28";"639.8974";"57.61";"0.31";"3893.13";"460.1";"1110.6444";"11700.43";"19835.63"
"2022-06-27";"636.3762";"57.31";"0.3";"3793.29";"508.4";"1110.4944";"11700.86";"19834.47"
"2022-06-26";"633.1092";"57.01";"0.44";"4984.21";"123.9";"1110.5127";"11702.27";"19835.48"
"2022-06-25";"628.2616";"56.57";"0.43";"4935.9";"131.7";"1110.5123";"11702.79";"19834.05"
"2022-06-24";"623.4904";"56.14";"0.33";"3898.19";"223.1";"1110.5122";"11701.35";"19832.51"
"2022-06-23";"619.9175";"55.82";"0.29";"3451.26";"245.2";"1110.5122";"11701.67";"19831.64"
"2022-06-22";"616.8703";"55.55";"0.27";"3321.57";"349.8";"1110.5122";"11689.19";"19783.87"
"2022-06-21";"613.8347";"55.27";"0.31";"3847.69";"375.5";"1110.6222";"11681.73";"19753.88"
"2022-06-20";"605.8363";"55.06";"0.32";"3928.08";"398.9";"1100.3622";"11561.32";"19589.49"
"2022-06-19";"602.3181";"54.74";"0.44";"5029.52";"207.4";"1100.39";"11562.09";"19589.3"
"2022-06-18";"597.5087";"54.3";"0.44";"5040.04";"226.8";"1100.389";"11563.14";"19587.67"
"2022-06-17";"592.7402";"53.87";"0.35";"4013.85";"203.3";"1100.3881";"11545.98";"19586.06"
"2022-06-16";"588.9637";"53.54";"0.34";"3974.04";"266.6";"1100.0464";"11547.11";"19582.97"
"2022-06-15";"585.2666";"53.2";"0.33";"3952.32";"278.7";"1100.0463";"11547.63";"19581.53"
"2022-06-14";"581.5929";"52.87";"0.33";"3975.83";"392";"1100.046";"11548.17";"19580.08"
"2022-06-13";"577.9672";"52.54";"0.37";"4283.62";"224.1";"1100.0447";"11500.4";"19548.38"
"2022-06-12";"573.2335";"52.11";"0.54";"5997.08";"66.6";"1100.0393";"11500.72";"19546.69"
"2022-06-11";"567.5427";"51.59";"0.52";"5800.38";"67.6";"1100.0393";"11501.23";"19545.35"
"2022-06-10";"561.8064";"51.07";"0.31";"4010.06";"622.7";"1100.0393";"11501.72";"19544.06"
"2022-06-09";"559.1901";"50.83";"0.26";"3734.81";"889.2";"1100.0394";"11501.38";"19544.98"
"2022-06-08";"556.6064";"50.6";"0.26";"3753.66";"843";"1100.0393";"11501.74";"19544"
"2022-06-07";"553.7107";"50.34";"0.35";"4259.62";"453";"1100.0393";"11508.58";"19542.69"
"2022-06-06";"549.904";"49.99";"0.45";"5143.31";"174.6";"1100.0393";"11509.08";"19541.37"
"2022-06-05";"544.927";"49.54";"0.5";"5709.18";"156.5";"1100.0217";"11509.16";"19539.18"
"2022-06-04";"539.3739";"49.03";"0.51";"5692.99";"137.3";"1100.0217";"11509.66";"19537.85"
"2022-06-03";"533.8165";"48.53";"0.42";"4839.47";"188.1";"1100.0217";"11541.88";"19536.52"
"2022-06-02";"529.1366";"48.1";"0.41";"4785.87";"282.2";"1100.0217";"11542.39";"19535.19"
"2022-06-01";"524.6601";"47.7";"0.35";"4106.37";"276.3";"1100.0217";"11542.9";"19533.85"
"2022-05-31";"520.8545";"47.35";"0.31";"3908.81";"522.6";"1100.0218";"11486.88";"19458.6"
"2022-05-30";"517.6523";"46.9";"0.31";"4087.47";"666.4";"1103.8384";"11506.16";"19556.4"
"2022-05-29";"514.0779";"46.57";"0.47";"5347.7";"199";"1103.8209";"11506.32";"19554.19"
"2022-05-28";"508.9089";"46.1";"0.49";"5486.49";"124.8";"1103.8209";"11506.83";"19552.83"
"2022-05-27";"503.5431";"45.62";"0.48";"5377.69";"87.3";"1103.8209";"11507.34";"19551.5"
"2022-05-26";"498.2598";"45.14";"0.48";"5491.37";"161.6";"1103.8209";"11507.84";"19550.17"
"2022-05-25";"492.9509";"44.66";"0.44";"5166.73";"272";"1103.8209";"11508.35";"19548.81"
"2022-05-24";"487.9551";"44.21";"0.43";"4968.94";"261.6";"1103.8209";"11508.34";"19548.85"
"2022-05-23";"483.3099";"43.79";"0.43";"5026.19";"240.1";"1103.8209";"11508.84";"19547.52"
"2022-05-22";"478.5283";"43.35";"0.53";"5935.97";"106.9";"1103.8048";"11508.96";"19545.37"
"2022-05-21";"472.6961";"42.82";"0.54";"6023.65";"88";"1103.8048";"11509.46";"19544.06"
"2022-05-20";"466.7766";"42.29";"0.45";"5207.74";"228.8";"1103.8048";"11509.94";"19542.77"
"2022-05-19";"461.6434";"41.82";"0.43";"5001.64";"219.9";"1103.8048";"11510.45";"19541.43"
"2022-05-18";"456.8083";"41.38";"0.4";"4700.74";"287.1";"1103.8048";"11510.97";"19540.07"
"2022-05-17";"452.4397";"40.99";"0.39";"4598.04";"238.1";"1103.8258";"11511.37";"19539.02"
"2022-05-16";"448.0595";"40.59";"0.43";"5042.28";"308.3";"1103.8258";"11511.84";"19537.76"
"2022-05-15";"443.3089";"40.16";"0.58";"6478.83";"63.9";"1103.8058";"11511.8";"19535.59"
"2022-05-14";"436.8781";"39.58";"0.55";"6184.33";"82.8";"1103.8058";"11512.24";"19534.42"
"2022-05-13";"430.7427";"39.02";"0.5";"5749.01";"180.3";"1103.8058";"11504.64";"19533.07"
"2022-05-12";"425.1515";"38.48";"0.42";"5392.49";"705.3";"1104.914";"11495.17";"19531.69"
"2022-05-11";"420.394";"38.05";"0.45";"5431.48";"498.8";"1104.914";"11495.69";"19530.3"
"2022-05-10";"415.4735";"37.64";"0.42";"5400.45";"803.8";"1103.7669";"11482.38";"19495.39"
"2022-05-09";"410.8998";"37.23";"0.43";"5318.04";"520.2";"1103.7669";"11482.91";"19493.99"
"2022-05-08";"406.1048";"36.79";"0.51";"5902.12";"243.4";"1103.766";"11499.91";"19492.56"
"2022-05-07";"400.458";"36.28";"0.51";"5881.76";"218.2";"1103.766";"11500.44";"19491.15"
"2022-05-06";"394.7458";"35.76";"0.42";"5528.83";"842.5";"1103.766";"11499.97";"19489.75"
"2022-05-05";"390.0778";"35.34";"0.41";"4767.78";"280.3";"1103.766";"11499.47";"19488.43"
"2022-05-04";"385.5855";"34.93";"0.39";"4746.57";"401.2";"1103.766";"11499.85";"19487.45"
"2022-05-03";"381.2661";"34.54";"0.4";"4580.41";"166.3";"1103.766";"11500.13";"19486.7"
"2022-05-02";"376.844";"34.14";"0.39";"4488.59";"227.3";"1103.766";"11500.49";"19485.74"
"2022-05-01";"372.5387";"33.75";"0.46";"5140.54";"114.2";"1103.7455";"11499.77";"19483.97"
"2022-04-30";"367.4994";"33.29";"0.38";"4351.13";"154.8";"1103.7875";"11495.92";"19645.56"
"2022-04-29";"363.5905";"32.9";"0.3";"3681.73";"364.8";"1105.2229";"11496.05";"19645.21"
"2022-04-28";"360.2716";"32.6";"0.27";"3419.37";"390.6";"1105.2229";"11496.24";"19644.71"
"2022-04-27";"357.2565";"32.32";"0.19";"2728.23";"616.5";"1105.2229";"11492.25";"19644.69"
"2022-04-26";"355.1304";"32";"0.2";"2915.15";"698.1";"1109.7292";"11492.04";"19645.24"
"2022-04-25";"352.8497";"31.8";"0.26";"3573.52";"657";"1109.7292";"11490.95";"19656.41"
"2022-04-24";"349.9163";"31.53";"0.42";"4858.34";"206.3";"1109.7185";"11491.08";"19654.84"
"2022-04-23";"345.2501";"31.11";"0.41";"4713.59";"175.3";"1109.7185";"11491.48";"19653.79"
"2022-04-22";"340.7572";"30.71";"0.32";"3964.83";"364.7";"1109.7185";"11491.78";"19653"
"2022-04-21";"337.1722";"30.38";"0.28";"3554.66";"471.2";"1109.7185";"11492.15";"19652.01"
"2022-04-20";"334.0842";"30.11";"0.25";"3410.16";"644.6";"1109.7185";"11482.59";"19658.27"
"2022-04-19";"331.3247";"29.86";"0.26";"3490.02";"567.2";"1109.7185";"11482.91";"19657.41"
"2022-04-18";"328.214";"29.58";"0.42";"4883.63";"180.5";"1109.7185";"11483.44";"19656.02"
"2022-04-17";"323.657";"29.17";"0.43";"4984.89";"171.8";"1109.7189";"11483.98";"19654.64"
"2022-04-16";"318.8524";"28.73";"0.42";"4864.52";"178.7";"1109.7189";"11484.5";"19653.29"
"2022-04-15";"314.164";"28.31";"0.37";"4340.39";"259.6";"1109.7189";"11484.94";"19658.32"
"2022-04-14";"309.4256";"27.9";"0.31";"3792.08";"388.5";"1109.0965";"11485.32";"19657.32"
"2022-04-13";"302.6462";"27.29";"0.26";"3281.86";"371.3";"1109.0965";"11485.43";"19657.01"
"2022-04-12";"303.1168";"27.33";"0.23";"3062.91";"546.4";"1109.0965";"11485.5";"19681.83"
"2022-04-11";"300.6161";"27.1";"0.14";"2199.17";"628.1";"1109.0965";"11485.42";"19682.04"
"2022-04-10";"299.3691";"26.99";"0.18";"2553.68";"517.6";"1109.0975";"11485.55";"19681.83"
"2022-04-09";"296.9986";"26.78";"0.19";"2619.34";"506.5";"1109.0975";"11485.65";"19687.14"
"2022-04-08";"294.9351";"26.59";"0.15";"2312.65";"629";"1109.0975";"11485.75";"19686.88"
"2022-04-07";"293.26";"26.41";"0.19";"2447.69";"371";"1110.3144";"11493.82";"19687.67"
"2022-04-06";"291.6223";"26.27";"0.12";"2036.87";"671.6";"1110.1368";"11485.86";"19592.8"
"2022-04-05";"290.2606";"26.15";"-0.02";"1124.8";"1338.4";"1110.1368";"11485.64";"19593.38"
"2022-04-04";"291.0615";"26.31";"-0.09";"991.78";"1945.7";"1106.3201";"11466.59";"19494.75"
"2022-04-03";"292.0282";"26.31";"-0.04";"1229.37";"1694.7";"1110.1368";"11485.36";"19594.1"
"2022-04-02";"292.6704";"26.41";"-0.04";"1175.48";"1643.6";"1108.0274";"11502.19";"19574.23"
"2022-04-01";"295.4873";"26.6";"-0.11";"1006.01";"2189.1";"1110.6938";"11496.36";"19575.65"
"2022-03-31";"291.2818";"26.29";"-0.02";"1741.98";"1976.8";"1108.1227";"11400.12";"19363.34"
"2022-03-30";"295.4033";"26.59";"0.03";"2004.37";"1708.6";"1110.8227";"11400.23";"19363.05"
"2022-03-29";"295.105";"26.57";"0.1";"2514.84";"1424.2";"1110.8227";"11400.46";"19362.43"
"2022-03-28";"294.0246";"26.47";"0.11";"2609.02";"1410";"1110.8227";"11400.67";"19361.89"
"2022-03-27";"292.8562";"26.36";"0.26";"3771.77";"892.4";"1110.8134";"11411.77";"19360.57"
"2022-03-26";"290.3067";"26.16";"0.26";"3958.63";"1045.4";"1109.7437";"11218.28";"19065.41"
"2022-03-25";"287.9347";"25.92";"0.2";"3639.51";"1468.8";"1110.8134";"11412.72";"19358.05"
"2022-03-24";"286.6161";"25.8";"0.08";"2414.14";"1490.3";"1110.8134";"11412.61";"19358.33"
"2022-03-23";"285.274";"25.68";"0.03";"2037.8";"1677.2";"1110.8134";"11412.54";"19358.54"
"2022-03-22";"284.858";"25.64";"0";"1865.14";"1840.5";"1110.8134";"11412.46";"19358.74"
"2022-03-21";"284.8849";"25.65";"-0.06";"1771.3";"2419.7";"1110.8134";"11414.3";"19359.17"
"2022-03-20";"285.5322";"25.7";"0.03";"2242.19";"1920.1";"1110.8153";"11409.23";"19359.58"
"2022-03-19";"283.316";"25.51";"0.08";"2521.96";"1672";"1110.8153";"11406.24";"19359.54"
"2022-03-18";"284.3841";"25.6";"-0.05";"1994.86";"2587";"1110.8153";"11406.2";"19359.67"
"2022-03-17";"284.9918";"25.66";"-0.08";"1650.47";"2562.2";"1110.8153";"11421.17";"19359.73"
"2022-03-16";"285.9212";"25.74";"-0.1";"1413.67";"2528.8";"1110.8153";"11411.25";"19359.52"
"2022-03-15";"287.0338";"25.84";"-0.16";"836.47";"2596.2";"1110.8153";"11399.95";"19359.52"
"2022-03-14";"288.8197";"26";"-0.17";"790.48";"2647";"1110.8068";"11391.81";"19342.48"
"2022-03-13";"290.8254";"26.18";"-0.01";"1748.9";"1821";"1110.8078";"11392.05";"19341.96"
"2022-03-12";"290.9167";"26.19";"-0.01";"1813.49";"1966";"1110.8078";"11387.31";"19341.27"
"2022-03-11";"290.9598";"26.19";"-0.11";"1395.28";"2609.5";"1110.8078";"11387.67";"19340.32"
"2022-03-10";"292.1805";"26.3";"-0.09";"1777";"2815.3";"1110.8078";"11387.91";"19339.68"
"2022-03-09";"293.2138";"26.4";"-0.24";"734.24";"3383.4";"1110.8078";"11388";"19339.45"
"2022-03-08";"295.9787";"26.65";"-0.32";"591.06";"4106";"1110.8078";"11378.06";"19339.27"
"2022-03-07";"299.496";"26.96";"-0.38";"645.33";"4815.6";"1110.8078";"11382.76";"19340.08"
"2022-03-06";"303.6945";"27.34";"-0.21";"888.88";"3207.5";"1110.8078";"11382.51";"19340.73"
"2022-03-05";"305.9913";"27.55";"-0.19";"930.04";"2992.5";"1110.8078";"11382.3";"19364.89"
"2022-03-04";"308.0371";"27.73";"-0.27";"764.9";"3762.8";"1110.8078";"11381.94";"19365.84"
"2022-03-03";"311.0218";"28";"-0.3";"621.62";"3974.7";"1110.8078";"11359.86";"19366.77"
"2022-03-02";"314.3953";"28.3";"-0.33";"636.28";"4293.1";"1110.8078";"11359.46";"19367.83"
"2022-03-01";"318.0315";"28.63";"-0.34";"676.64";"4507";"1110.8078";"11354.05";"19368.92"
"2022-02-28";"321.9029";"28.98";"-0.35";"483.98";"4422.7";"1110.8078";"11352.34";"19393.58"
"2022-02-27";"325.846";"29.33";"-0.16";"972.34";"2703.1";"1110.8093";"11378.89";"19394.22"
"2022-02-26";"327.5769";"29.49";"-0.17";"728.5";"2649.8";"1110.8093";"11388.68";"19394.76"
"2022-02-25";"329.4823";"29.66";"-0.26";"400";"3275.2";"1110.8093";"11309.11";"19395.74"
"2022-02-24";"332.2281";"29.91";"-0.25";"493.29";"3272.9";"1110.8093";"11277.1";"19396.49"
"2022-02-23";"335.017";"30.16";"-0.28";"471.95";"3571.5";"1110.8093";"11276.74";"19397.46"
"2022-02-22";"338.0983";"30.44";"-0.33";"395.05";"4084.8";"1110.8093";"11276.42";"19398.29"
"2022-02-21";"341.7818";"30.77";"-0.33";"374.2";"4013.2";"1110.8093";"11276.07";"19399.21"
"2022-02-20";"345.4058";"31.09";"-0.17";"881.91";"2784.5";"1110.8093";"11275.8";"19440.23"
"2022-02-19";"347.3129";"31.27";"-0.22";"721.78";"3207.8";"1110.8093";"11275.49";"19441.05"
"2022-02-18";"349.79";"31.49";"-0.24";"581.11";"3259.8";"1110.8093";"11275.45";"19441.16"
"2022-02-17";"352.4798";"31.73";"-0.24";"718.47";"3350.3";"1110.8093";"11275.55";"19440.88"
"2022-02-16";"355.0888";"31.97";"-0.3";"638.54";"3939.5";"1110.8093";"11275.38";"19441.34"
"2022-02-15";"358.3805";"32.26";"-0.36";"386.99";"4337.9";"1110.8093";"11275.22";"19441.76"
"2022-02-14";"362.482";"32.63";"-0.36";"622.58";"4593.3";"1110.8093";"11275.13";"19442.01"
"2022-02-13";"366.408";"32.99";"-0.26";"784.14";"3718.3";"1110.8117";"11275.06";"19442.45"
"2022-02-12";"369.3376";"33.25";"-0.34";"479.43";"4270.2";"1110.8117";"11274.86";"19442.98"
"2022-02-11";"373.1594";"33.59";"-0.42";"440.62";"5128.5";"1110.8117";"11274.57";"19443.75"
"2022-02-10";"377.8224";"34.01";"-0.41";"451.57";"5059.5";"1110.8117";"11274.28";"19475.73"
"2022-02-09";"382.4287";"34.43";"-0.36";"506.3";"4500.8";"1110.8117";"11273.89";"19476.74"
"2022-02-08";"386.3185";"34.78";"-0.37";"346.48";"4430.8";"1110.8117";"11273.69";"19477.28"
"2022-02-07";"390.4029";"35.15";"-0.39";"328.46";"4675.5";"1110.8117";"11273.32";"19478.24"
"2022-02-06";"394.7603";"35.54";"-0.22";"649.7";"3073.9";"1110.8107";"11273.25";"19478.32"
"2022-02-05";"397.2595";"35.76";"-0.24";"602.34";"3301.4";"1110.8107";"11273.18";"19478.51"
"2022-02-04";"399.9629";"36.01";"-0.34";"591.39";"4350.1";"1110.8107";"11273.18";"19478.52"
"2022-02-03";"403.7377";"36.35";"-0.41";"410.59";"5002.7";"1110.8107";"11272.96";"19479.08"
"2022-02-02";"408.3312";"36.76";"-0.44";"273.09";"5123.6";"1110.8107";"11272.7";"19446.82"
"2022-02-01";"413.1853";"37.2";"-0.45";"296.26";"5305";"1110.8107";"11272.4";"19480.58"
"2022-01-31";"418.1289";"37.64";"-0.55";"222.97";"6365.2";"1110.8107";"11272.09";"19501.49"
"2022-01-30";"424.2649";"38.19";"-0.35";"506.39";"4403.1";"1110.8229";"11272.09";"19502.88"
"2022-01-29";"428.1475";"38.54";"-0.36";"589";"4594";"1110.8229";"11271.83";"19503.56"
"2022-01-28";"432.1361";"38.9";"-0.56";"210.35";"6430.7";"1110.8229";"11271.44";"19523.09"
"2022-01-27";"438.3505";"39.46";"-0.59";"281.3";"6795.5";"1110.8229";"11271.14";"19523.9"
"2022-01-26";"444.8837";"40.05";"-0.68";"234.16";"7819.4";"1110.8229";"11270.68";"19525.1"
"2022-01-25";"452.4141";"40.73";"-0.72";"170.59";"8184.6";"1110.8229";"11270.25";"19526.23"
"2022-01-24";"460.4331";"41.45";"-0.7";"189.45";"7915.7";"1110.8229";"11269.85";"19494.08"
"2022-01-23";"468.1584";"42.14";"-0.54";"261.97";"6254.3";"1110.8449";"11269.97";"19529.47"
"2022-01-22";"474.273";"42.69";"-0.58";"234.26";"6661";"1110.8449";"11269.55";"19530.58"
"2022-01-21";"480.7003";"43.27";"-0.69";"166.85";"7817.8";"1110.8449";"11270.08";"19529.2"
"2022-01-20";"488.3528";"43.96";"-0.65";"158.96";"7396.8";"1110.8449";"11269.68";"19492.91"
"2022-01-19";"495.5687";"44.61";"-0.64";"207.14";"7333";"1110.8449";"11269.28";"19508.05"
"2022-01-18";"502.4789";"45.23";"-0.69";"199.79";"7844.2";"1110.8449";"11268.73";"19552.55"
"2022-01-17";"510.1639";"45.93";"-0.64";"213.01";"7351.8";"1110.8449";"11268.37";"19509.95"
"2022-01-16";"517.276";"46.56";"-0.49";"459.31";"5947.3";"1110.9449";"11270.45";"19559.44"
"2022-01-15";"522.7782";"47.06";"-0.56";"366.08";"6558.3";"1110.9449";"11269.95";"19560.76"
"2022-01-14";"528.9643";"47.61";"-0.7";"189.15";"8011.3";"1110.9449";"11269.46";"19562.05"
"2022-01-13";"536.8254";"48.32";"-0.71";"249.13";"8108.6";"1110.9449";"11269.65";"19561.54"
"2022-01-12";"557.3189";"50.17";"-0.76";"194.24";"8644.6";"1110.9449";"11269.23";"19562.65"
"2022-01-11";"552.7912";"49.76";"-0.73";"227.92";"8294.6";"1110.9449";"11268.79";"19563.8"
"2022-01-10";"560.8372";"50.49";"-0.69";"180.26";"7850.1";"1110.8941";"11268.31";"19560.87"
"2022-01-09";"568.9187";"51.22";"-0.43";"372.73";"5139.7";"1110.7599";"11264.64";"19555.27"
"2022-01-08";"573.6877";"51.65";"-0.43";"386.57";"5135.2";"1110.7599";"11264.22";"19556.37"
"2022-01-07";"578.4525";"52.08";"-0.52";"334.34";"6109";"1110.7599";"11263.83";"19557.4"
"2022-01-06";"584.2132";"52.6";"-0.48";"398.5";"5712.3";"1110.7599";"11263.49";"19558.28"
"2022-01-05";"588.5382";"52.99";"-0.39";"565.01";"4843.6";"1110.7599";"11263.09";"19559.34"
"2022-01-04";"592.7334";"53.36";"-0.25";"1131.49";"3961.6";"1110.7599";"11262.91";"19559.83"
"2022-01-03";"595.5332";"53.61";"-0.15";"1572.83";"3188.2";"1110.7599";"11263.08";"19559.39"
"2022-01-02";"597.0875";"53.76";"-0.01";"2303.97";"2377";"1110.7433";"11263.03";"19557.61"
"2022-01-01";"597.1406";"53.76";"0.18";"3913.47";"1898.4";"1110.7209";"11263.26";"19556.25"